Platzierung,Platzierung,Titel,Interpret,VÖ-Datum,Anmerkungen,Label
50,50,The Tracks of My Tears,Smokey Robinson and the Miracles,1965/06,"Autor und Produzent: William RobinsonAutoren: Pete Moore, Marv Tamplin",Tamla
51,51,The Message,Grandmaster Flash & the Furious Five,1982/05,"Autoren: Duke Bootee, Melle MelProduzent: Sylvia Robinson",Sugar Hill
52,52,When Doves Cry,Prince,1984/06,Autor und Produzent: Prince,Warner Bros.
53,54,When a Man Loves a Woman,Percy Sledge,1966/03,"Autoren: Calvin Lewis, Andrew WrightProduzenten: Marlin Greene, Quin Ivy",Atlantic
54,55,Louie Louie,The Kingsmen,1963/06,Autor: Richard Berry (Musiker)Produzent: Ken Chase,Jerden
55,56,Long Tall Sally,Little Richard,1956/03,"Autor und Produzent: Robert „Bumps“ BlackwellAutoren: Enotris Johnson, Little Richard",Specialty
56,53,Anarchy in the U. K.,Sex Pistols,1977/11,"Autoren: Paul Cook, Steve Jones, Glen Matlock, Johnny RottenProduzenten: Chris Thomas, Bill Price",Warner Bros.
57,57,A Whiter Shade of Pale,Procol Harum,1967/06,"Autoren: Keith Reid, Gary BrookerProduzent: Denny Cordell",A&M
58,58,Billie Jean,Michael Jackson,1983/01,"Autor: Michael JacksonProduzenten: Quincy Jones, Michael Jackson",Epic
59,59,The Times They Are a-Changin’,Bob Dylan,1964/01,Autor: Bob DylanProduzent: Bob Johnston,Columbia
60,60,Let’s Stay Together,Al Green,1971/12,"Autoren: Al Green, Al Jackson, Jr.Autor und Produzent: Willie Mitchell",Hi
61,61,Whole Lotta Shakin’ Goin’ On,Jerry Lee Lewis,1957/06,"Autoren: Dave Williams, Roy HallProduzent: Jack Clement",Sun
62,62,Bo Diddley,Bo Diddley,1955/04,"Autor: Ellas McDanielProduzenten: Leonard Chess, Phil Chess",Checker
63,63,For What It’s Worth,Buffalo Springfield,1967/02,"Autor: Stephen StillsProduzenten: Charles Greene, Brian Stone",Atco
64,64,She Loves You,The Beatles,1963/09,"Autoren: John Lennon, Paul McCartneyProduzent: George Martin",Swan
65,65,Sunshine of Your Love,Cream,1968/01,"Autoren: Jack Bruce, Pete Brown, Eric ClaptonProduzent: Felix Pappalardi",Atco
66,66,Redemption Song,Bob Marley and the Wailers,1980/06,Autor: Bob MarleyProduzent: Chris Blackwell,Island
67,67,Jailhouse Rock,Elvis Presley,1957/10,"Autoren: Jerry Leiber, Mike StollerProduzent: Steve Sholes",RCA
68,68,Tangled Up in Blue,Bob Dylan,1975/01,Autor und Produzent: Bob Dylan,Columbia
69,69,Crying,Roy Orbison,1961/08,"Autoren: Joe Melson, Roy OrbisonProduzent: Fred Foster",Monument
70,70,Walk On By,Dionne Warwick,1964/04,"Autoren und Produzenten: Burt Bacharach, Hal David",Scepter
71,72,Papa’s Got a Brand New Bag,James Brown,1966/07,Autor und Produzent: James Brown,King
72,71,California Girls,The Beach Boys,1965/07,"Autoren: Brian Wilson, Mike LoveProduzent: Brian Wilson",Capitol
73,74,Superstition,Stevie Wonder,1972/11,"Autor und Produzent: Stevie WonderProduzenten: Malcolm Cecil, Robert Margouleff",Tamla
74,73,Summertime Blues,Eddie Cochran,1958/07,"Autoren: Eddie Cochran, Jerry CapehartProduzent: Jerry Capehart",Liberty
75,75,Whole Lotta Love,Led Zeppelin,1969/10,"Autoren: Willie Dixon, Led ZeppelinProduzent: Jimmy Page",Atlantic
76,76,Strawberry Fields Forever,The Beatles,1967/02,"Autoren: John Lennon, Paul McCartneyProduzent: George Martin",Capitol
77,77,Mystery Train,Elvis Presley,1955/09,"Autoren: Junior Parker, Sam PhillipsProduzent: Sam Phillip",Sun
78,78,I Got You (I Feel Good),James Brown,1965/11,Autor und Produzent: James Brown,King
79,79,Mr. Tambourine Man,The Byrds,1965/05,Autor: Bob DylanProduzent: Terry Melcher,Columbia
80,82,You Really Got Me,The Kinks,1964/09,Autor: Ray DaviesProduzent: Shel Talmy,Reprise
81,80,I Heard It Through the Grapevine,Marvin Gaye,1968/10,"Autoren: Norman Whitfield, Barrett StrongProduzent: Norman Whitfield",Tamla
82,81,Blueberry Hill,Fats Domino,1956/10,"Autoren: Al Lewis, Larry Stock, Vincent RoseProduzent: Dave Bartholomew",Imperial
83,83,Norwegian Wood (This Bird Has Flown),The Beatles,1965/12,"Autoren: John Lennon, Paul McCartneyProduzent: George Martin",Capitol
84,84,Every Breath You Take,The Police,1983/05,Autor: StingProduzent: Hugh Padgham,A&M
85,85,Crazy,Patsy Cline,1961/10,Autor: Willie NelsonProduzent: Owen Bradley,Decca
86,86,Thunder Road,Bruce Springsteen,1975/08,"Autor und Produzent: Bruce SpringsteenProduzenten: Jon Landau, Mike Appel",Columbia
87,87,Ring of Fire,Johnny Cash,1963/05,"Autoren: June Carter, Merle KilgoreProduzent: Don Law",Columbia
88,88,My Girl,The Temptations,1965/01,"Autoren und Produzenten: Smokey Robinson, Ronald White",Gordy
89,89,California Dreamin’,The Mamas and the Papas,1965/12,"Autoren: Michelle Phillips, John PhillipsProduzent: Lou Adler",Dunhill
90,90,In the Still of the Night,The Five Satins,1956/09,Autor: Fred ParrisProduzenten: The Five Satins,Standord
91,91,Suspicious Minds,Elvis Presley,1969/09,"Autor: Mark JamesProduzenten: Chips Moman, Felton Jarvis, Elvis Presley",RCA
92,92,Blitzkrieg Bop,Ramones,1976/05,Autoren: The RamonesProduzent: Craig Leon,Sire
93,93,I Still Haven’t Found What I’m Looking For,U2,1987/05,"Autor: BonoProduzenten: Daniel Lanois, Brian Eno",Island
94,94,"Good Golly, Miss Molly",Little Richard,1958/02,"Autoren: Robert „Bumps“ Blackwell, John MarascalcoProduzent: Robert „Bumps“ Blackwell",Specialty
95,95,Blue Suede Shoes,Carl Perkins,1956/02,Autor: Carl PerkinsProduzent: Sam Phillips,Sun
96,96,Great Balls of Fire,Jerry Lee Lewis,1957/11,"Autoren: Otis Blackwell, Jack HammerProduzent: Sam Phillips",Sun
97,97,Roll Over Beethoven,Chuck Berry,1956/05,"Autor: Chuck BerryProduzenten: Leonard Chess, Phil Chess",Chess
98,98,Love and Happiness,Al Green,1972/06,"Autoren: Al Green, Mabon „Teenie“ HodgesProduzent: Willie Mitchell",Hi
99,99,Fortunate Son,Creedence Clearwater Revival,1969/10,Autor und Produzent: John Fogerty,Fantasy
100,–,Crazy,Gnarls Barkley,2006/05,"Autor und Produzent: Brian Burton aka Danger MouseAutoren: Thomas Calloway, Gian Franco Reverberi, Gian Piero Reverberi",Downtown
101,100,You Can’t Always Get What You Want,The Rolling Stones,1969/07,"Autoren: Mick Jagger, Keith RichardsProduzent: Jimmy Miller",London
